state,year,st,pct_women_bothchambers,pct_unemp_men,pct_unemp_women,pct_BA_women,pct_BA_men
Alabama,2010,AL,12.85714286,11.3,9.5,21.34646682,22.13589643
Alaska,2010,AK,20,9,6.8,28.71292365,25.40316042
Arizona,2010,AZ,32.22222222,11.2,9.4,25.16481174,27.52620804
Arkansas,2010,AR,22.96296296,8.6,8.7,18.93099083,19.35063772
California,2010,CA,27.5,12.9,11.3,29.27142217,30.89029543
Colorado,2010,CO,38,9.1,8.3,35.14400262,36.64717991
Connecticut,2010,CT,32.0855615,9.9,8.4,34.11919703,36.34627911
Delaware,2010,DE,25.80645161,9.7,7.3,27.08416678,28.31547022
Florida,2010,FL,23.75,12.3,9.7,24.67102161,27.25918185
Georgia,2010,GA,19.06779661,11.7,9.5,26.97287207,27.47718448
Hawaii,2010,HI,32.89473684,7.8,6.1,29.85713199,29.01024583
Idaho,2010,ID,24.76190476,9.7,8.1,22.8908442,25.72282536
Illinois,2010,IL,28.24858757,11.3,8.8,29.74119673,30.85848364
Indiana,2010,IN,21.33333333,11.4,9.7,21.85027778,23.05155969
Iowa,2010,IA,23.33333333,6.6,5.5,24.50644351,24.52622523
Kansas,2010,KS,30.3030303,8.1,6.7,28.70559694,30.02689088
Kentucky,2010,KY,15.94202899,11.1,9.4,20.41696292,20.26117641
Louisiana,2010,LA,15.97222222,7.7,8,21.47219556,20.33930336
Maine,2010,ME,29.03225806,9.3,7.1,27.25256325,25.78662794
Maryland,2010,MD,31.38297872,8,7.4,35.0972462,36.38387281
Massachusetts,2010,MA,26,9.6,7.5,37.6184986,39.05019658
Michigan,2010,MI,25,14.3,9.9,24.37267556,25.70806757
Minnesota,2010,MN,34.82587065,8.6,5.8,31.13525041,31.70907815
Mississippi,2010,MS,14.36781609,12.1,9.6,19.99150474,18.85943418
Missouri,2010,MO,22.33502538,10.1,8.8,24.73567482,25.39172591
Montana,2010,MT,26,9.3,5.9,27.83392334,27.91483808
Nevada,2010,NV,31.74603175,15.8,12.7,21.05914922,22.63162978
New Hampshire,2010,NH,37.02830189,6.7,5.1,32.37793083,33.36541805
New Jersey,2010,NJ,28.33333333,9.7,8.8,33.36257905,35.96067357
New Mexico,2010,NM,30.35714286,10.1,6.8,25.17737912,25.74761981
NewYork,2010,Ny,24.05660377,9.3,7.7,31.94648559,32.33237539
North Carolina,2010,NC,25.88235294,11.7,9.1,26.14870782,26.04953653
North Dakota,2010,ND,17.0212766,4.1,3.5,27.36136333,25.25056124
Ohio,2010,OH,21.96969697,11.5,8.5,23.34538965,25.01996234
Oklahoma,2010,OK,11.40939597,7.7,6.6,22.20990753,23.02629923
Oregon,2010,OR,28.88888889,12.3,9.7,27.8680416,29.44290125
Pennsylvania,2010,PA,15.41501976,9.5,7.6,25.44302238,27.41999681
Rhode Island,2010,RI,22.12389381,12,10.5,29.46744805,31.31293739
South Carolina,2010,SC,10,12.3,9.6,23.55452376,24.398888
South Dakota,2010,SD,20,6,4.2,25.55710545,25.0771992
Tennessee,2010,TN,18.93939394,10.9,7.7,22.24954858,23.17243712
Texas,2010,TX,23.20441989,8.2,7.9,24.91660283,26.65473747
Utah,2010,UT,21.15384615,9.5,6.6,26.176975,32.71829898
Vermont,2010,VT,37.22222222,7.1,5.2,34.48730137,31.96103523
Virginia,2010,VA,19.28571429,8.2,6.7,33.06031938,34.62952348
Washington,2010,WA,32.65306122,11.4,8.9,29.93086758,32.1140312
West Virginia,2010,WV,16.41791045,10.5,7.1,17.29767568,17.2023204
Wisconsin,2010,WI,21.96969697,9.7,7.7,25.92786697,25.6488103
Wyoming,2010,WY,16.66666667,7,6.1,23.58022608,23.54803415
